,School,Test Optional?,Applies to Class Year(s),Policy Details,Number of Applicants,Accept Rate,SAT Total 25th-75th Percentile,ACT Total 25th-75th Percentile,STATE
29,PITZER COLLEGE,Yes,All / Permanent Policy,Pitzer offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However applicants to the joint medical program homeschooled students and students who attend secondary schools at which grades are not provided are not eligible for test optional admission.,4358,13.3%,1340-1490,30-33,CA
30,COLORADO COLLEGE,Yes,All / Permanent Policy,Colorado College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students and international students are not eligible for test optional admission.,9456,13.5%,1300-1480,29-33,CO
31,HARVEY MUDD COLLEGE,Yes,2021,Harvey Mudd has adopted a one-year test optional policy for all first-year and transfer students applying in the 2020-21 admission cycle.,4045,13.7%,1490-1570,33-35,CA
32,GEORGETOWN UNIVERSITY,Yes,2021,Georgetown has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle. Georgetown does not offer merit-based aid.,22872,14.5%,1370-1530,31-34,DC
33,UNIVERSITY OF CALIFORNIA—​BERKELEY,Yes (TB),2021 2022 2023 2024,Cal has adopted a four-year test blind policy beginning in the 2020-21 admission cycle. At the end of the four year period they will consider whether to reinstate the testing requirement.,89621,14.8%,1300-1530,28-34,
34,TUFTS UNIVERSITY,Yes,2021 2022 2023,Tufts has adopted a three-year test optional policy for first-time international and homeschooled students beginning with the 2020-21 admission cycle. After a three-year pilot period Tufts will reevaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission. Tufts does not offer merit-based aid.,22766,15.0%,1390-1540,32-34,MA
35,WASHINGTON UNIVERSITY IN ST. LOUIS,Yes,2021,Washington University in St. Louis has adopted a one-year test optional policy for the 2020-21 admission cycle.,31320,15.0%,1470-1570,32-35,
36,MIDDLEBURY COLLEGE,Yes,2021 2022 2023,Middlebury has adopted a three-year test optional policy for first-year and transfer students beginning with the 2020-21 admission cycle. After a three-year pilot period Middlebury will re-evaluate whether to continue the test optional policy indefinitely or return to its previous test flexible policy. Middlebury does not offer merit-based aid.,9754,15.4%,1360-1530,32-34,VT
37,CARNEGIE MELLON UNIVERSITY,Yes,2021,Carnegie Mellon has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle. Carnegie Mellon does not offer merit-based aid.,27634,15.4%,1460-1560,33-35,PA
38,UNIVERSITY OF NOTRE DAME,Yes,2021,Notre Dame has adopted a one-year test optional policy for all first year and transfer students applying in the 2020-21 admission cycle.,22200,15.8%,1400-1550,32-35,IN
39,THE COOPER UNION,Yes,2021 2022,Cooper Union has adopted a two-year test optional policy for first-year and transfer applicants beginning with the 2020-21 admission cycle. After a two-year period Cooper Union will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,2447,16.0%,1283-1510,31-34,
40,NEW YORK UNIVERSITY,Yes,2021,NYU has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,79462,16.2%,1370-1510,30-34,NY
41,HAVERFORD COLLEGE,Yes,2021 2022 2023,Haverford has adopted a three-year test optional policy for all first-year and transfer applicants beginning with the 2020-21 admission cycle. After a three-year period Haverford will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission. Haverford does not offer merit-based aid.,4963,16.3%,1380-1540,32-34,PA
