,School,Test Optional?,Applies to Class Year(s),Policy Details,Number of Applicants,Accept Rate,SAT Total 25th-75th Percentile,ACT Total 25th-75th Percentile,STATE
119,RHODES COLLEGE,Yes,2021 2022 2023,Rhodes College has adopted a three-year test optional policy for all first-year applicants beginning with the 2020-21 admission cycle. After a three-year pilot period Rhodes will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,5207,44.7%,1220-1430,27-32,TN
120,NORTH CAROLINA STATE UNIVERSITY—​RALEIGH,Yes,2021,NC State has adopted a one-year test optional policy for students applying to the Spring and Fall 2021 semesters.,30995,44.9%,1250-1390,27-31,
121,BAYLOR UNIVERSITY,Yes,2021,Baylor University has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,34582,45.3%,1200-1380,26-32,TX
122,UNIVERSITY OF DALLAS,Yes,2021,University of Dallas has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,4676,45.3%,1150-1360,24-30,TX
123,GETTYSBURG COLLEGE,Yes,All / Permanent Policy,Gettysburg College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However Gettysburg recommends that both international and homeschooled students submit SAT or ACT scores.,6269,45.4%,1270-1420,26-30,PA
124,FORDHAM UNIVERSITY,Yes,2021 2022,Fordham University has adopted a two-year test optional policy for first-year and transfer applicants beginning with the 2020-21 admission cycle. After a two-year period Fordham will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,46308,46.0%,1250-1430,28-32,NY
125,TEXAS CHRISTIAN UNIVERSITY,Yes,2021,Texas Christian University has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,19028,47.1%,1150-1350,25-31,TX
126,SOUTHERN METHODIST UNIVERSITY,Yes,2021,Southern Methodist University has adopted a one-year test optional policy for the 2020-21 admission cycle.,13959,47.3%,1300-1480,29-33,TX
127,PROVIDENCE COLLEGE,Yes,All / Permanent Policy,Providence College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,11478,47.5%,1210-1350,27-31,RI
128,ST. OLAF COLLEGE,Yes,All / Permanent Policy,St. Olaf College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,5694,47.5%,1190-1430,26-32,
129,UNIVERSITY OF NEW MEXICO,Yes,All / Permanent Policy,UNM offers a test optional policy which allows students to be considered for admission without test scores. However home-schooled and non-traditional students are not eligible for TO admission. Scores are also necessary for some scholarships.,12281,48.6%,1040-1270,19-25,
130,UNIVERSITY OF GEORGIA,Yes,2021,The University System of Georgia has adopted a one-year test optional policy for first year applicants both domestic and international applying in the 2020-21 admission cycle.,26027,48.6%,1240-1410,27-32,GA
131,UNIVERSITY OF SAN DIEGO,Yes,All / Permanent Policy,University of San Diego offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,13755,48.7%,1200-1350,26-31,CA
132,UNIVERSITY OF CONNECTICUT,Yes,2021 2022 2023,Unversity of Connecticut has adopted a three-year test optional policy for all students beginning with the 2020-2021 admission cycle.,34886,48.8%,1210-1420,26-31,CT
133,SANTA CLARA UNIVERSITY,Yes,2021 2022,Santa Clara University has adopted a two-year test optional policy for first-year and transfer applicants beginning with the 2020-21 admission cycle. After a two-year period Santa Clara will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,16300,48.8%,1280-1440,28-32,CA
134,SOUTHWESTERN UNIVERSITY,Yes,All / Permanent Policy,Southwestern University has a test optional policy which allows students to be considered for admission without submitting SAT or ACT scores. However homeschooled students and international students are not eligible for test optional admission.,4766,49.0%,1140-1320,23-29,TX
135,PENNSYLVANIA STATE UNIVERSITY—​UNIVERSITY PARK,Yes,2021,Pennsylvania State University--College Park has adopted a one-year test optional policy for students entering in the Summer and Fall of 2021.,71903,49.1%,1160-1370,25-30,
136,MARIST COLLEGE,Yes,All / Permanent Policy,Marist College offers a test optional policy offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students and students applying to some programs are not eligible for test optional admission.,11260,49.2%,1210-1360,26-31,NY
137,THE COLLEGE OF NEW JERSEY,Yes,2021 2022 2023,The College of New Jersey has adopted a three-year test optional policy for all applicants beginning in the 2020-21 admission cycle.,13824,49.3%,1160-1360,25-30,NJ
138,WORCESTER POLYTECHNIC INSTITUTE,Yes,All / Permanent Policy,Worcester Polytechnic Institute offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,10645,49.4%,1310-1470,29-33,MA
139,SYRACUSE UNIVERSITY,Yes,2021,Syracuse has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,34981,49.9%,1180-1370,25-30,NY
140,UNIVERSITY OF LA VERNE,Yes,All / Permanent Policy,University of La Verne offers a test optional policy which allows first-year applicants to be considered for admission without SAT or ACT scores.,7276,50.9%,1020-1205,20-26,CA
141,CLEMSON UNIVERSITY,Yes,2021,Clemson has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,29070,51.3%,1230-1400,27-32,SC
142,AUSTIN COLLEGE,Yes,All / Permanent Policy,Austin College offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores. However international students and homeschooled students are not eligible for test optional admission.,4360,51.3%,1110-1290,24-29,TX
143,UNIVERSITY OF CALIFORNIA—​SANTA CRUZ,Yes (TB),2021 2022 2023 2024,UCSC has adopted a four-year test blind policy beginning in the 2020-21 admission cycle. At the end of the four year period they will consider whether to reinstate the testing requirement.,55906,51.5%,1200-1360,24-30,
144,UNIVERSITY OF WASHINGTON--SEATTLE,Yes,All / Permanent Policy,The University of Washington--Seattle offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores.,45579,51.8%,1240-1440,27-33,
145,CALIFORNIA STATE UNIVERSITY--FULLERTON,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,50105,52.7%,1030-1200,19-24,
146,UNIVERSITY OF WISCONSIN—​MADISON,Yes,2021 2022,The University of Wisiconsin--Madison has adopted temporary test optional policy for students applying through Summer 2023.,43921,53.0%,1330-1450,27-32,
147,COLORADO SCHOOL OF MINES,Yes,2021,Colorado School of Mines has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,11756,53.1%,1260-1460,27-33,CO
148,CHAPMAN UNIVERSITY,Yes,All / Permanent Policy,Chapman offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students and students who graduate from schools without traditional grades are not eligible for test optional admission.,14198,53.6%,1190-1370,25-30,CA
149,OHIO STATE UNIVERSITY—​COLUMBUS,Yes,2021,OSU has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle. However home-schooled students and students who attend a non-chartered high school are not eligible for test optional admission.,47703,53.7%,1250-1460,28-32,
150,TEXAS LUTHERAN UNIVERSITY,Yes,2021,Texas Lutheran University has adopted a one-year test optional policy for domestic first-year applicants in the 2020-21 admission cycle.,2198,54.3%,990-1160,19-25,TX
151,UNIVERSITY AT ALBANY—​SUNY,Yes,2021,The University at Albany-SUNY has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,27529,54.3%,1090-1250,22-28,
152,GEORGIA SOUTHERN,Yes,2021,The University System of Georgia has adopted a one-year test optional policy for first year applicants both domestic and international applying in the 2020-21 admission cycle.,13858,54.5%,1050-1200,20-25,
153,COLLEGE OF WOOSTER,Yes,All / Permanent Policy,The College of Wooster offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores.,6352,54.7%,1150-1380,24-31,
154,SAN JOSE STATE UNIVERSITY,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,36243,54.7%,1040-1260,19-26,CA
155,CALIFORNIA STATE POLYTECHNIC UNIVERSITY--POMONA,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,36660,55.5%,1030-1250,19-27,
156,WHITMAN COLLEGE,Yes,All / Permanent Policy,Whitman College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However international and homeschooled students are strongly encouraged to submit SAT or ACT scores.,4832,55.8%,1240-1450,28-33,WA
157,SARAH LAWRENCE COLLEGE,Yes,All / Permanent Policy,Sarah Lawrence College offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores.,3325,55.8%,1240-1420,27-32,NY
158,NEW SCHOOL,Yes,All / Permanent Policy,The New School offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,9911,56.6%,1150-1360,24-30,
159,UNIVERSITY OF PITTSBURGH,Yes,2021,University of Pittsburgh has adopted a one-year test optional policy for Fall 2021 applicants to the Dietrich School however students applying to the Business Computing & Information Engineering and Nursing schools are still required to submit scores.,32091,56.7%,1260-1440,28-33,
160,UNIVERSITY OF CALIFORNIA RIVERSIDE,Yes,2021 2022 2023 2024,The UC system has adopted a two-year test optional policy for first-year applicants both domestic and international beginning in the 2020-21 admission cycle. After those two years the UCs will be Test Blind (meaning they will not consider test scores) for two more years. At the end of the four year period they will consider whether to reinstate the testing requirement.,49788,56.7%,1130-1340,24-30,
161,UNIVERSITY OF MINNESOTA—​TWIN CITIES,Yes,2021,University of Minnesota-Twin Cities has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,40673,56.7%,1260-1480,26-31,
162,HOBART AND WILLIAM SMITH COLLEGES,Yes,All / Permanent Policy,Hobart and William Smith Colleges offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,4526,56.9%,1203-1360,27-30,
163,ABILENE CHRISTIAN UNIVERSITY,Yes,2021,Abilene Christian University has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,11569,57.0%,1040-1230,21-27,TX
164,BENNINGTON COLLEGE,Yes,All / Permanent Policy,Bennington has a test-optional policy which allows students to be considered for admission without submitting SAT or ACT scores.,1494,57.0%,1230-1390,28-32,VT
165,BIRMINGHAM-​SOUTHERN COLLEGE,Yes,All / Permanent Policy,Birmingham-Southern College offers a test optional policy which allows applicants to be considered for admission without SAT or ACT scores. However applicants who select test optional admission are required to have an interview with an admissions counselor.,3628,57.0%,1040-1250,22-28,
166,FAIRFIELD UNIVERSITY,Yes,All / Permanent Policy,Fairfield University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,12315,57.1%,1210-1350,26-30,CT
167,GEORGIA STATE,Yes,2021,The University System of Georgia has adopted a one-year test optional policy for first year applicants both domestic and international applying in the 2020-21 admission cycle.,19838,57.4%,990-1190,21-26,
168,TEXAS A&M UNIVERSITY—​COLLEGE STATION,Yes,2021,Texas A&M University has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,42899,57.5%,1160-1390,26-31,
169,SAINT LOUIS UNIVERSITY,Yes,2021,Saint Louis University has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,15120,57.5%,1180-1370,25-31,MO
170,ST. JOHN'S COLLEGE ANNAPOLIS,Yes,All / Permanent Policy,St. John's College offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores. However homeschooled students and students who will not earn high school diplomas are not eligible for test optional admission. Most international students are not eligible for test optional admission.,913,57.6%,1210-1450,24-33,
171,LAKE FOREST COLLEGE,Yes,All / Permanent Policy,Lake Forest College has a test-optional policy which allows students to be considered for admission without submitting SAT or ACT scores. Test optional applicants must complete an interview. Homeschooled students are not eligible for test optional admission.,4147,57.9%,1110-1310,23-29,IL
172,KENNESAW STATE UNIVERSITY,Yes,2021,The University System of Georgia has adopted a one-year test optional policy for first year applicants both domestic and international applying in the 2020-21 admission cycle.,13427,57.9%,1080-1270,21-26,GA
173,CALIFORNIA STATE UNIVERSITY--FRESNO,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,18122,57.9%,950-1130,16-22,
174,ROLLINS COLLEGE,Yes,All / Permanent Policy,"Rollins offers a test optional policy (""test scores waived option"") which allows students to be considered for admission without SAT or ACT scores. However applicants to the 3/2 Accelerated Management Program or the Honors Degree Program must submit test scores.",6167,58.3%,1160-1340,24-30,FL
175,UNIVERSITY OF HAWAII AT MANOA,Yes,2021,University of Hawaii has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,16244,58.4%,1070-1270,21-26,HI
176,UNIVERSITY OF DENVER,Yes,All / Permanent Policy,University of Denver offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,21028,58.7%,1170-1350,26-31,CO
177,HAMPDEN-​SYDNEY COLLEGE,Yes,2021,Hampden-Sydney College has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,3240,59.0%,1050-1250,21-27,
178,UNIVERSITY OF ILLINOIS—​URBANA-​CHAMPAIGN,Yes,2021,University of Illinois--Urbana-Champaign has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,43509,59.0%,1220-1480,27-33,
179,MILLSAPS COLLEGE,Yes,2021,Millsaps College has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,4161,59.3%,1080-1260,22-28,MS
180,CALIFORNIA STATE UNIVERSITY--NORTHRIDGE,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,30637,59.3%,910-1130,16-22,
181,CLARK UNIVERSITY,Yes,All / Permanent Policy,Clark University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However international students are not eligible for test optional admission.,7687,59.4%,1200-1390,28-31,MA
182,LIPSCOMB UNIVERSITY,Yes,2021,Lipscomb University has adopted a one-year test optional policy for first-year applicants entering in Spring and Fall 2021.,3638,59.5%,1060-1320,22-29,TN
183,VIRGINIA MILITARY INSTITUTE,Yes,2021,The Virginia Military Institute has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,1515,59.5%,1090-1270,21-28,VA
184,PURDUE UNIVERSITY—​WEST LAFAYETTE,Yes (TF),2021,Purdue University has adopted a one-year Test Flexible policy which means that while they prefer students submit SAT or ACT scores applications will still be evaluated without them for students who couldn't test. This policy applies to the Spring Summer and Fall 2021 terms.,54912,59.8%,1190-1440,25-32,
185,TEMPLE UNIVERSITY,Yes,All / Permanent Policy,Temple University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However home-schooled applicants recruited student athletes and international applicants are not eligible for test optional admission.,35599,60.0%,1120-1320,24-30,PA
186,RUTGERS THE STATE UNIVERSITY OF NEW JERSEY—​NEW BRUNSWICK,Yes,2021,Rutgers has adopted a one-year test optional policy for in the 2020-21 admission cycle.,41348,60.1%,1190-1410,25-31,
187,ILLINOIS INSTITUTE OF TECHNOLOGY,Yes,2021,Illinois Institute of Technology has adopted a one-year test optional policy for students applying to the Spring and Fall 2021 semesters.,5049,60.2%,1190-1400,26-32,IL
188,YESHIVA UNIVERSITY,Yes,2021,Yeshiva has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,1508,60.3%,1140-1400,22-30,NY
189,ILLINOIS WESLEYAN UNIVERSITY,Yes,2021,Illinois Wesleyan has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle. Test optional applicants must have an interview with their admissions counselor and submit an essay.,3719,60.8%,1120-1320,24-29,IL
190,FURMAN UNIVERSITY,Yes,All / Permanent Policy,Furman University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,5469,61.1%,1230-1410,28-32,SC
191,UNIVERSITY AT BUFFALO—​SUNY,Yes,2021,University at Buffalo-SUNY has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,29900,61.1%,1160-1340,24-29,
192,CONCORDIA COLLEGE—​MOORHEAD,Yes,All / Permanent Policy,Concordia College offers a test optional policy which allows applicants to be considered for admission without SAT or ACT scores.,4160,61.2%,1080-1368,21-27,
193,SUNY COLLEGE OF ENVIRONMENTAL SCIENCE AND FORESTRY,Yes,2021,SUNY College of Environmental Science and Forestry has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,2018,61.4%,1120-1310,23-29,NY
194,UNIVERSITY OF PORTLAND,Yes,2021,University of Portland has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,14505,61.5%,1160-1330,23-29,OR
195,CORNELL COLLEGE,Yes,All / Permanent Policy,Cornell College has a test optional policy which allows students to be considered for admission without submitting SAT or ACT scores. Students who apply test optional are expected to respond to two additional written prompts on their applications and to submit portfolios.,3118,61.8%,1100-1345,23-29,IA
196,MUHLENBERG COLLEGE,Yes,All / Permanent Policy,Muhlenberg College offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores.,4146,61.8%,1170-1360,26-30,PA
197,GONZAGA UNIVERSITY,Yes,2021,Gonzaga University has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,9279,61.9%,1210-1358,25-30,WA
198,BELOIT COLLEGE,Yes,All / Permanent Policy,Beloit offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores.,3657,62.0%,1080-1380,24-30,WI
199,LAWRENCE UNIVERSITY,Yes,All / Permanent Policy,Lawrence University offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores.,3463,62.1%,1200-1430,25-32,WI
200,UNIVERSITY OF UTAH,Yes,2021 2022 2023,The University of Utah has adopted a test optional policy for students applying through Fall 2023. However students who have GEDs who attend a non-accredited high school or who are applying for direct admission into select programs are not eligible for TO. Test scores are also required for merit scholarships.,24404,62.1%,1142.5-1380,22-29,UT
201,ALLEGHENY COLLEGE,Yes,All / Permanent Policy,Allegheny College offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores. However international students are not eligible for test optional admission.,5208,62.2%,1170-1360,24-30,PA
202,UNIVERSITY OF DELAWARE,Yes,2021,University of Delaware has adopted a one-year test optional policy for all students applying to the Spring and Fall 2021 terms.,27691,62.4%,1170-1350,25-30,DE
203,WESTMONT COLLEGE,Yes,2021,Westmont College has adopted a one-year test optional policy for student applying to the Spring and Fall 2021 semesters.,2937,62.4%,1110-1370,23-30,CA
204,LUTHER COLLEGE,Yes,2021,Luther College has adopted a one-year test optional policy for Fall 2021 applicants.,4422,62.6%,1050-1310,23-29,IA
205,RUTGERS THE STATE UNIVERSITY OF NEW JERSEY—​NEWARK,Yes,2021,Rutgers has adopted a one-year test optional policy for in the 2020-21 admission cycle.,13259,62.7%,1020-1190,19-24,
206,EARLHAM COLLEGE,Yes,All / Permanent Policy,Earlham offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores. However international students and homeschooled students are not eligible for test optional admission.,2070,63.4%,1100-1370,23-30,IN
207,AUGUSTANA COLLEGE,Yes,All / Permanent Policy,Augustana College has a test optional policy which allows students to be considered for admission without submitting SAT or ACT scores. Test optional applicants may be asked to complete an interview. However homeschooled applicants and international applicants are not eligible for test optional admission.,6211,63.6%,1070-1280,22-29,IL
208,WOFFORD COLLEGE,Yes,All / Permanent Policy,Wofford College has a test optional policy which allows students to be considered for admission without submitting SAT or ACT scores. However international students are not eligible for test optional admission.,3522,63.6%,1180-1350,27-30,SC
209,NEW JERSEY INSTITUTE OF TECHNOLOGY,Yes,2021,The New Jersey Institute of Technology has adopted a one-year test optional policy for applicants applying in the 2020-21 admissions cycle.,8123,63.7%,1190-1380,25-30,NJ
210,UNIVERSITY OF MASSACHUSETTS—​AMHERST,Yes,2021 2022 2023,UMass Amherst has adopted a three-year test optional policy beginning with the 2020-21 admission cycle. They will reevaluate their policy after the three-year period.,42157,63.8%,1190-1390,26-32,
211,WABASH COLLEGE,Yes,2021,Wabash has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,1307,64.2%,1120-1320,23-29,IN
212,DEPAUW UNIVERSITY,Yes,All / Permanent Policy,DePauw University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students and students who wish to apply for an Honor Scholar or Fellows program are not eligible for test optional admission.,4935,64.4%,1130-1360,23-30,IN
213,DRURY UNIVERSITY,Yes,All / Permanent Policy,Drury University offers a test optional policy which allows domestic students to be considered for admission without SAT or ACT scores.,1664,64.4%,1045-1225,22-28,MO
214,ST. JOHN FISHER COLLEGE,Yes,2021 2022,St. John Fisher College has adopted a two-year test optional policy beginning with the 2020-21 admission cycle. They will reevaluate their policy after two years.,4720,64.5%,1070-1260,21-26,
215,UNIVERSITY OF SAN FRANCISCO,Yes,All / Permanent Policy,University of San Francisco offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,18411,64.6%,1130-1330,23-29,CA
216,BARD COLLEGE,Yes,All / Permanent Policy,Bard College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,5141,64.6%,1248-1420,27-31,NY
217,GOSHEN COLLEGE,Yes,2021,Goshen has adopted a one-year test optional policy for students applying to enroll in Fall 2021.,1278,64.7%,1010-1210,21-29,IN
218,AGNES SCOTT COLLEGE,Yes,All / Permanent Policy,Agnes Scott College offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,1751,64.8%,1130-1340,24-30,GA
219,VIRGINIA POLYTECHNIC INSTITUTE AND STATE UNIVERSITY,Yes,2021,Virginia Polytechnic Institute and State University has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,31936,64.8%,1180-1390,25-31,VA
220,UNIVERSITY OF HOUSTON,Yes,2021,University of Houston has adopted a one-year test optional policy for all first-year applicants applying in the 2020-21 admission cycle. Applicants electing TO must submit 2 letters of support a personal statement and a resumé.,25393,65.0%,1140-1310,22-27,TX
221,UNIVERSITY OF NORTH CAROLINA—​CHARLOTTE,Yes,2021,The UNC System has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,21867,65.0%,1120-1290,22-26,
222,TRUMAN STATE UNIVERSITY,Yes (TF),2021,Truman State University has adopted a one-year Test Flexible policy which means that while they prefer students submit SAT or ACT scores applications will still be evaluated without them for students who couldn't test. Students applying without test scores must submit an essay and may be asked to provide additional information. Test scores are required to be eligible for some scholarships or programs.,4568,65.3%,1080-1358,24-30,MO
223,UNIVERSITY OF NORTH CAROLINA—​WILMINGTON,Yes,2021,The UNC System has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,13287,65.5%,1170-1320,22-27,
224,SUNY—​GENESEO,Yes,2021,SUNY-Geneseo has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,10433,65.5%,1120-1310,23-28,
225,EMBRY-​RIDDLE AERONAUTICAL UNIVERSITY,Yes,All / Permanent Policy,Embry-Riddle Aeronautical University offers a test optional policy which allows most students to be considered for admission without SAT or ACT scores. Homeschooled students must provide SAT or ACT scores and show academic strength through SAT Subject Tests and/or AP Exams.,6017,65.5%,1110-1320,22-29,
226,UNIVERSITY OF THE PACIFIC,Yes,All / Permanent Policy,University of the Pacific offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,13096,65.6%,1130-1360,23-31,CA
227,ROCHESTER INSTITUTE OF TECHNOLOGY,Yes,All / Permanent Policy,Rochester Institute of Technology offers a test optional policy which allows students applying to most programs to be considered for admission without SAT or ACT scores. Students applying to imaging science motion picture science and photographic sciences within the College of Art & Design must still provide test scores,18948,66.0%,1200-1400,27-32,NY
228,BERRY COLLEGE,Yes,All / Permanent Policy,Berry College offers a test optional policy which allows students to apply without standardized test scores.,3970,66.1%,1110-1310,23-29,GA
229,MISSISSIPPI STATE UNIVERSITY,Yes,2021,Mississippi State has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,18269,66.3%,1070-1280,22-30,MS
230,SEWANEE—​UNIVERSITY OF THE SOUTH,Yes,All / Permanent Policy,Sewanee--The University of the South offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,3545,66.7%,1150-1340,25-30,
231,HANOVER COLLEGE,Yes,All / Permanent Policy,Hanover College offers a test optional policy which allows applicants to be considered for admission without SAT or ACT scores.,7795,66.9%,1078-1300,22-28,IN
232,COE COLLEGE,Yes*,All / Permanent Policy,Coe College requires either the SAT or ACT however it will waive this requirement if you have a 3.0+ GPA. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,7795,66.9%,1078-1300,22-28,IA
233,RANDOLPH-​MACON COLLEGE,Yes,2021,Randolph-Macon College has adopted a one-year test optional policy for students applying to the Fall 2021 semester. However students applying to direct entry Bachelor of Science in Nursing program must submit scores.,2907,67.1%,1020-1240,20-27,
234,LOYOLA UNIVERSITY CHICAGO,Yes,All / Permanent Policy,Loyola University Chicago offers a test optional policy which allows students to be considered for admission without standardized test scores. However students applying for admission to the Bachelor of Nursing and Engineering Science programs will still be required to submit a self-reported test score as part of the requirement for review.,25583,67.2%,1140-1320,25-30,IL
235,UNIVERSITY OF VERMONT,Yes,2021,University of Vermont has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,19233,67.3%,1180-1360,26-31,VT
236,SAN FRANCISCO STATE UNIVERSITY,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,34629,67.3%,940-1150,17-23,CA
237,BRIGHAM YOUNG UNIVERSITY—​PROVO,Yes,2021,BYU has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,10500,67.5%,1210-1420,26-31,
238,DRAKE UNIVERSITY,Yes,All / Permanent Policy,"Drake University offers a test optional policy which it refers to as a ""test-flexible"" plan which allows students to either write an essay or sit for an interview in lieu of submitting test scores. However homeschooled students as well as applicants to certain programs are not eligible for test optional admission.",6944,67.6%,1100-1370,24-31,IA
239,STONEHILL COLLEGE,Yes,All / Permanent Policy,Stonehill College offers a test optional policy which allows applicants to be considered for admission without SAT or ACT scores.,6961,67.7%,1120-1290,24-28.5,MA
240,ELMHURST COLLEGE,Yes,2021,Elmhurst has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle. Students who choose to apply TO will be required to submit an essay.,4175,67.8%,990-1210,20-26,
241,TAYLOR UNIVERSITY,Yes,All / Permanent Policy,Taylor University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. Students who choose not to submit scores may be asked to provide more information or complete proficiency exams.,2341,68.1%,1080-1310,22-28,IN
242,DEPAUL UNIVERSITY,Yes,All / Permanent Policy,DePaul University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. Subject Tests are not required. However homeschooled students and international students are not eligible for test optional admission.,26895,68.2%,1070-1290,--,IL
243,KNOX COLLEGE,Yes,All / Permanent Policy,Knox College offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,3397,68.3%,1090-1350,24-31,IL
244,HOFSTRA UNIVERSITY,Yes,All / Permanent Policy,Hofstra Univeristy offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students and international students are not eligible for test optional admission.,24425,68.5%,1160-1340,25-30,NY
245,ITHACA COLLEGE,Yes,All / Permanent Policy,Ithaca College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,15278,68.5%,1160-1338,25-30,NY
246,CALIFORNIA STATE UNIVERSITY--SAN BERNARDINO,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,16307,68.6%,910-1090,15-19,
247,UNIVERSITY OF SOUTH CAROLINA,Yes,2021,The University of South Carolina has adopted a one-year test optional policy for students applying for 2021 admission.,31268,68.6%,1180-1370,25-31,
248,ALBION COLLEGE,Yes,2021,Albion College has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,4043,68.8%,990-1200,21-27,MI
249,PRESBYTERIAN COLLEGE (SC),Yes,All / Permanent Policy,Presbyterian College offers a test optional policy which allows applicants to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,2462,68.8%,1010-1210,19-25,
